item_id,movie_name,release_timestamp
1,Toy Story,01-Jan-1995
2,GoldenEye,01-Jan-1995
3,Four Rooms,01-Jan-1995
4,Get Shorty,01-Jan-1995
5,Copycat,01-Jan-1995
6,Shanghai Triad (Yao a yao yao dao waipo qiao),01-Jan-1995
7,Twelve Monkeys,01-Jan-1995
8,Babe,01-Jan-1995
9,Dead Man Walking,01-Jan-1995
10,Richard III,22-Jan-1996
11,Seven (Se7en),01-Jan-1995
12,"Usual Suspects, The",14-Aug-1995
13,Mighty Aphrodite,30-Oct-1995
14,"Postino, Il",01-Jan-1994
15,Mr. Holland's Opus,29-Jan-1996
16,French Twist (Gazon maudit),01-Jan-1995
17,From Dusk Till Dawn,05-Feb-1996
18,"White Balloon, The",01-Jan-1995
19,Antonia's Line,01-Jan-1995
20,Angels and Insects,01-Jan-1995
21,Muppet Treasure Island,16-Feb-1996
22,Braveheart,16-Feb-1996
23,Taxi Driver,16-Feb-1996
24,Rumble in the Bronx,23-Feb-1996
25,"Birdcage, The",08-Mar-1996
26,"Brothers McMullen, The",01-Jan-1995
27,Bad Boys,01-Jan-1995
28,Apollo 13,01-Jan-1995
29,Batman Forever,01-Jan-1995
30,Belle de jour,01-Jan-1967
31,Crimson Tide,01-Jan-1995
32,Crumb,01-Jan-1994
33,Desperado,01-Jan-1995
34,"Doom Generation, The",01-Jan-1995
35,Free Willy 2: The Adventure Home,01-Jan-1995
36,Mad Love,01-Jan-1995
37,Nadja,01-Jan-1994
38,"Net, The",01-Jan-1995
39,Strange Days,01-Jan-1995
40,"To Wong Foo, Thanks for Everything! Julie Newmar",01-Jan-1995
41,Billy Madison,01-Jan-1995
42,Clerks,01-Jan-1994
43,Disclosure,01-Jan-1994
44,Dolores Claiborne,01-Jan-1994
45,Eat Drink Man Woman,01-Jan-1994
46,Exotica,01-Jan-1994
47,Ed Wood,01-Jan-1994
48,Hoop Dreams,01-Jan-1994
49,I.Q.,01-Jan-1994
50,Star Wars,01-Jan-1977
51,Legends of the Fall,01-Jan-1994
52,"Madness of King George, The",01-Jan-1994
53,Natural Born Killers,01-Jan-1994
54,Outbreak,01-Jan-1995
55,"Professional, The",01-Jan-1994
56,Pulp Fiction,01-Jan-1994
57,Priest,01-Jan-1994
58,Quiz Show,01-Jan-1994
59,Three Colors: Red,01-Jan-1994
60,Three Colors: Blue,01-Jan-1993
61,Three Colors: White,01-Jan-1994
62,Stargate,01-Jan-1994
63,"Santa Clause, The",01-Jan-1994
64,"Shawshank Redemption, The",01-Jan-1994
65,What's Eating Gilbert Grape,01-Jan-1993
66,While You Were Sleeping,01-Jan-1995
67,Ace Ventura: Pet Detective,01-Jan-1994
68,"Crow, The",01-Jan-1994
69,Forrest Gump,01-Jan-1994
70,Four Weddings and a Funeral,01-Jan-1994
71,"Lion King, The",01-Jan-1994
72,"Mask, The",01-Jan-1994
73,Maverick,01-Jan-1994
74,Faster Pussycat! Kill! Kill!,01-Jan-1965
75,Brother Minister: The Assassination of Malcolm X,01-Jan-1994
76,Carlito's Way,01-Jan-1993
77,"Firm, The",01-Jan-1993
78,Free Willy,01-Jan-1993
79,"Fugitive, The",01-Jan-1993
80,Hot Shots! Part Deux,01-Jan-1993
81,"Hudsucker Proxy, The",01-Jan-1994
82,Jurassic Park,01-Jan-1993
83,Much Ado About Nothing,01-Jan-1993
84,Robert A. Heinlein's The Puppet Masters,01-Jan-1994
85,"Ref, The",01-Jan-1994
86,"Remains of the Day, The",01-Jan-1993
87,Searching for Bobby Fischer,01-Jan-1993
88,Sleepless in Seattle,01-Jan-1993
89,Blade Runner,01-Jan-1982
90,So I Married an Axe Murderer,01-Jan-1993
91,"Nightmare Before Christmas, The",01-Jan-1993
92,True Romance,01-Jan-1993
93,Welcome to the Dollhouse,24-May-1996
94,Home Alone,01-Jan-1990
95,Aladdin,01-Jan-1992
96,Terminator 2: Judgment Day,01-Jan-1991
97,Dances with Wolves,01-Jan-1990
98,"Silence of the Lambs, The",01-Jan-1991
99,Snow White and the Seven Dwarfs,01-Jan-1937
100,Fargo,14-Feb-1997
101,Heavy Metal,08-Mar-1981
102,"Aristocats, The",01-Jan-1970
103,All Dogs Go to Heaven 2,29-Mar-1996
104,Theodore Rex,29-Mar-1996
105,Sgt. Bilko,29-Mar-1996
106,Diabolique,01-Jan-1996
107,Moll Flanders,14-Jun-1996
108,Kids in the Hall: Brain Candy,12-Apr-1996
109,Mystery Science Theater 3000: The Movie,19-Apr-1996
110,Operation Dumbo Drop,01-Jan-1995
111,"Truth About Cats & Dogs, The",26-Apr-1996
112,Flipper,10-May-1996
113,"Horseman on the Roof, The (Hussard sur le toit, Le)",19-Apr-1996
114,Wallace & Gromit: The Best of Aardman Animation,05-Apr-1996
115,"Haunted World of Edward D. Wood Jr., The",26-Apr-1996
116,Cold Comfort Farm,23-Apr-1996
117,"Rock, The",07-Jun-1996
118,Twister,10-May-1996
119,Maya Lin: A Strong Clear Vision,01-Jan-1994
120,Striptease,28-Jun-1996
121,Independence Day (ID4),03-Jul-1996
122,"Cable Guy, The",14-Jun-1996
123,"Frighteners, The",19-Jul-1996
124,Lone Star,21-Jun-1996
125,Phenomenon,29-Jun-1996
126,"Spitfire Grill, The",06-Sep-1996
127,"Godfather, The",01-Jan-1972
128,Supercop,26-Jul-1996
129,Bound,04-Oct-1996
130,Kansas City,16-Aug-1996
131,Breakfast at Tiffany's,01-Jan-1961
132,"Wizard of Oz, The",01-Jan-1939
133,Gone with the Wind,01-Jan-1939
134,Citizen Kane,01-Jan-1941
135,2001: A Space Odyssey,01-Jan-1968
136,Mr. Smith Goes to Washington,01-Jan-1939
137,Big Night,20-Sep-1996
138,D3: The Mighty Ducks,04-Oct-1996
139,"Love Bug, The",01-Jan-1969
140,Homeward Bound: The Incredible Journey,01-Jan-1993
141,"20,000 Leagues Under the Sea",01-Jan-1954
142,Bedknobs and Broomsticks,01-Jan-1971
143,"Sound of Music, The",01-Jan-1965
144,Die Hard,01-Jan-1988
145,"Lawnmower Man, The",01-Jan-1992
146,Unhook the Stars,30-Oct-1996
147,"Long Kiss Goodnight, The",05-Oct-1996
148,"Ghost and the Darkness, The",11-Oct-1996
149,Jude,01-Nov-1996
150,Swingers,18-Oct-1996
